A.ja-jp content.tsv
Level	Esperanto	ja-jp	en-us	Grupo	Alternativoj	Pronoco
level	skribas sur la skribotablo	その机の上で書く	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	その本は〜です	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	その机の上に	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	教科書とその教科書	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	そのテーブルの上に〜がある	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	父と母	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	その父とその母	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	私の友人のその母	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	その部屋で	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	その部屋にない	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	彼らは今働いています	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	彼の父は労働者です。	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	彼はホテルで働く	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	その母は教える	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	彼女は女教師です。	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	彼女は母親ですか？	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	いいえ、彼女はホテルスタッフです	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	いいえ、私は働いていません	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	彼女の名前は何ですか？	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	誰が今答えていますか？	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	彼らの母親のその言語	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	あなたの名前は〜ですか？	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	私たちは座って答える	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	彼女の働く椅子	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	その名前は〜ではありません	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	彼女の言語は彼らの言語です	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	私たちの父と母	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	あなたの学生、あなたの学生	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	彼らはあなたの学生ですか？	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	あなたは学生ですか？	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	あなたはその部屋にいますか？	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	私は〜ではない	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	エスペランティストと女性エスペランティスト	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	そのホテルの部屋のために予約した	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	言語学者と女性労働者	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	彼のガールフレンドは〜です。	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	学生と運動選手	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	私の姓（家族名）は〜です	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	彼女は誰ですか？	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	あなたのガールフレンドです。	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	あなたの友人は〜あるか。	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	その部屋で今書いている	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	あなたの父のその友人は〜？	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ホテルで働く	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	そのテーブルの上に何がありますか？	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	私たちの部屋のそのテーブルの上に	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	エスペラント教科書は〜ですか？	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	あなたのテーブルの上にある。	is on your table	grupo	alternativoj	prononco
level	havas amikinon	彼女がいる	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	彼女の名前は〜です	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	若くて美しい	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	若くて美しい	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	若くて美しい友達	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	男女友達だ	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	彼女の先生の家	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	その家に来た	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	～の家（家）	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	入ってください	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	こんにちは！何をしていますか？	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	何をしていますか？	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	しかし今、私は〜したいです。	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	言いたい	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	3人の男女友達と	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	あなたと言った	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	あなたと話したい	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	あなたは男女友達がいますか？	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	彼は本を持っています	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	良い本を持っている	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	はい、私は持っています	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	彼らはそれが好きです	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	彼女は本を読んだ	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	本を読むのが好き	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	ただ良い本だけ	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	多くの良い本	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	良い本だけを読んだ	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	良い本を読むのが好き	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	読むことを望むか。	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	その若者はコーヒーを飲んだ	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	水を飲みたい	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	父、母;両親	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	兄弟と姉妹、兄弟姉妹	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	あなたの両親と兄弟姉妹	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	あなたの家にいる	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ここにコーヒーがあります。	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	まだ飲んでいない	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	まだ暑い	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	昨日それを調理した	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	私は今調理しました	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	ありがとうございます。だから彼は言った	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	飲んで食べることができる	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	冷たいコーヒーを飲んだ	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ホットコーヒーも	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	冷たいコーヒーも飲む	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	冷たいコーヒーも飲める	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	彼女の目を見る	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	最も美しい目	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	その美しい目	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	その美しい目を眺めた	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	彼女の美しい目	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	〜を見る、そして理解する。	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	私は〜ということを見る	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	彼が彼女を愛していること	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	彼女は感じた、彼が彼女を愛していることを	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	質問する、それが大きくなったかどうか	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	簡単な質問について	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	新しいお金について話した	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	とても美しい目	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	その大きな兄を見た	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	妹はそれを忘れてしまった	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	目的格	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	目的格サフィックスを忘れないでください	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	どのだれを見るか。	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	私は友達を見る	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	良い男女友達がいる	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	彼らは働く、その古家について	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	働く、働いた、働く	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	見ている、私が食べているもの	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	話した、彼は行くだろう	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	醜くて悪い	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	彼女が何を話したのか？	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	あなたは何を待っていますか？	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	その部屋に入った	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	内容がとても難しかった	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	その会議に到着しました	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	ようこそ、大会へようこそ	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	老人はヒントを与えた	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	到着して歓迎されました	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	彼らは憎むが、協力する	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	そのホテルに行った	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	簡単な学習書を持っている	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	あなたの母はどうでしたか？	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	あなたの古い家	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	あなたはどの本を読んだのですか？	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	彼らは良かったか。	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	昨日何をしたの？	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	その小さな部屋の中で	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	かなり長い間言った	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	その学校の前で	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	その学校の前で話した	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	後でその本について語った	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	その学校に喜んで行った	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	その通りを通って	through the street	grupo	alternativoj	prononco
level	iris tra la strato	その通りを通り過ぎた	went through the street	grupo	alternativoj	prononco
level	estis varma tago	暑い日だった	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	彼らはカフェを見ました。	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	赤いお菓子を見た	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	その中でお菓子を見た	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	カフェを見て、その中でお菓子を（見た）	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	入って食べる	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	私たちに入って食べましょう	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	十分なお金を持っている	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	あなたは十分なお金を持っていますか？	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	理解するか。	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	当然！	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	十分ではない	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	百ドルは十分	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	ドル、ドル、ドル	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	100ドルを持っている	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	もちろん私は持っています	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ああ！あなたは裕福です！	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	食堂従業員、女従業員	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	レストランの従業員がメニューを持ってくる	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	それを私たちに持ってきた、それを持ってきた	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	レストランの従業員がたくさんのお菓子を持ってくれた	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	彼らは少し食べました	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	その食事の後	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	新しい、再び	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	そのウェイターがまた来た	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	どこかで	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	どこかで見つけた	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	別の場所で見つけた	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	彼の顔は嬉しかった	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	彼女は悲しい	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	終わりとついに	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	あなたの強い声	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	弱い声で	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	お金がない	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	そこに何が起こったか。	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	事件がその後起こった	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	あなたは知っています、それがいつ発生したのですか？	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	その事件について知る	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	まだ一つが残っている	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	あなたまたは彼女、誰でも	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	歌手のように、歌手として	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	プロの歌手のように歌った	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	そこで、彼女が住んでいた場所に	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	いかにその車について知っているか。	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	まあ、その速い車を見てください	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	砂糖のないジュース	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	彼は速い乗り物（車）を持っていた	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	強すぎる	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	彼はとても強く開いた	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	とても速く運転した	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	スプーンで食べた	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	私たちは強く疑う	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	それから来た本当の手紙	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	5枚の写真を同封した恋愛手紙	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	帰ってきた、帰ってきた人	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	また、手紙6通が戻ってきた	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	その写真を見たかった	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	その学校から戻ってきた	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	その姉妹はいつ戻りますか？	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	もう一度読んで欲しい	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	した（作った）、なった	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	すぐに赤くなった	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	部屋から、部屋へ	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	立っていて座っていた	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	そこに立っていた写真の前に	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	私はそれを持っています	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	あなたの手の中に何を持っていますか？	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	前または後ろ？	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	以前のあるいはその後の？	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	そこに、その扉の後ろに（その扉の後にそこに）	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	他（複数形）、他人	others, other people	grupo	alternativoj	prononco
